,Motif_ID,Motif_Symbol,AtID,Source
1455,NAC_tnt.ANAC011_col_a_m1,ANAC011,AT1G32510,DAPv1
1456,NAC_tnt.ANAC013_col_a_m1,ANAC013,AT1G32870,DAPv1
1457,NAC_tnt.ANAC013_colamp_a_m1,ANAC013,AT1G32870,DAPv1
1458,NAC_tnt.ANAC016_col_a_m1,ANAC016,AT1G34180,DAPv1
1459,NAC_tnt.ANAC016_colamp_a_m1,ANAC016,AT1G34180,DAPv1
1460,NAC_tnt.ANAC017_col_m1,ANAC017,AT1G34190,DAPv1
1461,NAC_tnt.ANAC017_colamp_v31_m1,ANAC017,AT1G34190,DAPv1
1462,NAC_tnt.ANAC020_col_v31_m1,ANAC020,AT1G54330,DAPv1
1463,NAC_tnt.ANAC028_col_a_m1,ANAC028,AT1G65910,DAPv1
1464,NAC_tnt.ANAC034_col_m1,ANAC034,AT2G02450,DAPv1
1465,NAC_tnt.ANAC038_col_a_m1,ANAC038,AT2G24430,DAPv1
1466,NAC_tnt.ANAC038_colamp_a_m1,ANAC038,AT2G24430,DAPv1
1467,NAC_tnt.ANAC042_col_a_m1,ANAC042,AT2G43000,DAPv1
1468,NAC_tnt.ANAC045_col_a_m1,ANAC045,AT3G03200,DAPv1
1469,NAC_tnt.ANAC045_colamp_a_m1,ANAC045,AT3G03200,DAPv1
1470,NAC_tnt.ANAC046_col_m1,ANAC046,AT3G04060,DAPv1
1471,NAC_tnt.ANAC046_colamp_a_m1,ANAC046,AT3G04060,DAPv1
1472,NAC_tnt.ANAC047_col_m1,ANAC047,AT3G04070,DAPv1
1473,NAC_tnt.ANAC047_colamp_a_d1,ANAC047,AT3G04070,DAPv1
1474,NAC_tnt.ANAC050_col_v3a_m1,ANAC050,AT3G10480,DAPv1
1475,NAC_tnt.ANAC050_colamp_a_m1,ANAC050,AT3G10480,DAPv1
1476,NAC_tnt.ANAC053_col_m1,ANAC053,AT3G10500,DAPv1
1477,NAC_tnt.ANAC053_colamp_a_m1,ANAC053,AT3G10500,DAPv1
1478,NAC_tnt.ANAC055_col_m1,ANAC055,AT3G15500,DAPv1
1479,NAC_tnt.ANAC057_col_a_m1,ANAC057,AT3G17730,DAPv1
1480,NAC_tnt.ANAC057_colamp_a_m1,ANAC057,AT3G17730,DAPv1
1481,NAC_tnt.ANAC058_col_a_m1,ANAC058,AT3G18400,DAPv1
1482,NAC_tnt.ANAC058_colamp_a_m1,ANAC058,AT3G18400,DAPv1
1483,NAC_tnt.ANAC062_col_m1,ANAC062,AT3G49530,DAPv1
1484,NAC_tnt.ANAC062_colamp_a_m1,ANAC062,AT3G49530,DAPv1
1485,NAC_tnt.ANAC070_col_m1,ANAC070,AT4G10350,DAPv1
1486,NAC_tnt.ANAC070_colamp_a_m1,ANAC070,AT4G10350,DAPv1
1487,NAC_tnt.ANAC071_col_a_m1,ANAC071,AT4G17980,DAPv1
1488,NAC_tnt.ANAC071_colamp_a_m1,ANAC071,AT4G17980,DAPv1
1489,NAC_tnt.ANAC075_col_a_m1,ANAC075,AT4G29230,DAPv1
1490,NAC_tnt.ANAC079_col_m1,ANAC079,AT5G07680,DAPv1
1491,NAC_tnt.ANAC079_colamp_a_m1,ANAC079,AT5G07680,DAPv1
1492,NAC_tnt.ANAC083_col_v3a_m1,ANAC083,AT5G13180,DAPv1
1493,NAC_tnt.ANAC083_colamp_a_m1,ANAC083,AT5G13180,DAPv1
1494,NAC_tnt.ANAC087_col_v3a_m1,ANAC087,AT5G18270,DAPv1
1495,NAC_tnt.ANAC087_colamp_a_m1,ANAC087,AT5G18270,DAPv1
1496,NAC_tnt.ANAC092_col_v3a_m1,ANAC092,AT5G39610,DAPv1
1497,NAC_tnt.ANAC092_colamp_a_m1,ANAC092,AT5G39610,DAPv1
1498,NAC_tnt.ANAC094_col_a_m1,ANAC094,AT5G39820,DAPv1
1499,NAC_tnt.ANAC096_col_m1,ANAC096,AT5G46590,DAPv1
1500,NAC_tnt.ANAC096_colamp_a_m1,ANAC096,AT5G46590,DAPv1
1501,NAC_tnt.ANAC103_col_a_m1,ANAC103,AT5G64060,DAPv1
1502,NAC_tnt.ANAC103_colamp_a_m1,ANAC103,AT5G64060,DAPv1
1503,NAC_tnt.AT1G19040_col_a_m1,AT1G19040,AT1G19040,DAPv1
1504,NAC_tnt.AT3G12910_col_a_m1,AT3G12910,AT3G12910,DAPv1
1505,NAC_tnt.ATAF1_col_a_m1,ATAF1,AT1G01720,DAPv1
1506,NAC_tnt.ATAF1_colamp_a_d1,ATAF1,AT1G01720,DAPv1
1507,NAC_tnt.CUC1_col_v31_m1,CUC1,AT3G15170,DAPv1
1508,NAC_tnt.CUC1_colamp_a_m1,CUC1,AT3G15170,DAPv1
1509,NAC_tnt.CUC2_col_m1,CUC2,AT5G53950,DAPv1
1510,NAC_tnt.CUC2_colamp_a_m1,CUC2,AT5G53950,DAPv1
1511,NAC_tnt.CUC3_col_a_m1,CUC3,AT1G76420,DAPv1
1512,NAC_tnt.CUC3_colamp_a_m1,CUC3,AT1G76420,DAPv1
1513,NAC_tnt.NAC2_col_v3a_m1,NAC2,AT5G04410,DAPv1
1514,NAC_tnt.NAC2_colamp_a_m1,NAC2,AT5G04410,DAPv1
1515,NAC_tnt.NAM_col_v3a_m1,NAM,AT1G52880,DAPv1
1516,NAC_tnt.NAM_colamp_a_m1,NAM,AT1G52880,DAPv1
1517,NAC_tnt.NAP_col_v3a_m1,NAP,AT1G69490,DAPv1
1518,NAC_tnt.NAP_colamp_a_m1,NAP,AT1G69490,DAPv1
1519,NAC_tnt.NST1_col_v31_m1,NST1,AT2G46770,DAPv1
1520,NAC_tnt.NST1_colamp_a_m1,NST1,AT2G46770,DAPv1
1521,NAC_tnt.NTL8_col_m1,NTL8,AT2G27300,DAPv1
1522,NAC_tnt.NTM1_col_a_m1,NTM1,AT4G01540,DAPv1
1523,NAC_tnt.NTM1_colamp_a_m1,NTM1,AT4G01540,DAPv1
1524,NAC_tnt.NTM2_col_b_m1,NTM2,AT4G01550,DAPv1
1525,NAC_tnt.SMB_col_a_m1,SMB,AT1G79580,DAPv1
1526,NAC_tnt.SMB_colamp_a_m1,SMB,AT1G79580,DAPv1
1527,NAC_tnt.SND2_col_a_m1,SND2,AT4G28500,DAPv1
1528,NAC_tnt.SND2_colamp_a_m1,SND2,AT4G28500,DAPv1
1529,NAC_tnt.SND3_col_b_m1,SND3,AT1G28470,DAPv1
1530,NAC_tnt.SND3_colamp_a_m1,SND3,AT1G28470,DAPv1
1531,NAC_tnt.VND1_col_a_m1,VND1,AT2G18060,DAPv1
1532,NAC_tnt.VND2_col_a_m1,VND2,AT4G36160,DAPv1
1533,NAC_tnt.VND2_colamp_a_m1,VND2,AT4G36160,DAPv1
1534,NAC_tnt.VND3_col_m1,VND3,AT5G66300,DAPv1
1535,NAC_tnt.VND3_colamp_a_m1,VND3,AT5G66300,DAPv1
1536,NAC_tnt.VND4_col_m1,VND4,AT1G12260,DAPv1
1537,NAC_tnt.VND4_colamp_a_m1,VND4,AT1G12260,DAPv1
1538,NAC_tnt.VND6_col_v31_m1,VND6,AT5G62380,DAPv1
1539,NAC_tnt.VND6_colamp_a_m1,VND6,AT5G62380,DAPv1
1540,ND_tnt.AGL95_col_a_m1,AGL95,AT2G15660,DAPv1
1541,ND_tnt.ASHR1_col_a_m1,ASHR1,AT2G17900,DAPv1
1542,ND_tnt.AT1G63040_col_a_m1,AT1G63040,AT1G63040,DAPv1
1543,ND_tnt.AT2G28920_col_a_m1,AT2G28920,AT2G28920,DAPv1
1544,ND_tnt.FRS9_col_a_m1,FRS9,AT4G38170,DAPv1
1545,ND_tnt.FRS9_colamp_a_m1,FRS9,AT4G38170,DAPv1
1546,NLP_tnt.AtNLP4_col_b_m1,AtNLP4,AT1G20640,DAPv1
1547,Orphan_tnt.AT1G23810_col_a_m1,AT1G23810,AT1G23810,DAPv1
1548,Orphan_tnt.AT1G24250_col_a_m1,AT1G24250,AT1G24250,DAPv1
1549,Orphan_tnt.BBX31_col_a_m1,BBX31,AT3G21890,DAPv1
1550,PLATZ_tnt.AT2G01818_col_a_m1,AT2G01818,AT2G01818,DAPv1
1551,RAV_tnt.RAV1_col_m1,RAV1,AT1G13260,DAPv1
1552,RAV_tnt.RAV1_colamp_a_m1,RAV1,AT1G13260,DAPv1
1553,REMB3_tnt.AT2G31460_col_a_m1,AT2G31460,AT2G31460,DAPv1
1554,REM_tnt.REM19_col_a_m1,REM19,AT1G49480,DAPv1
1555,REM_tnt.REM19_colamp_a_m1,REM19,AT1G49480,DAPv1
1556,RWPRK_tnt.NLP7_col_a_m1,NLP7,AT4G24020,DAPv1
1557,RWPRK_tnt.RKD2_col_a_m1,RKD2,AT1G74480,DAPv1
1558,RWPRK_tnt.RKD2_colamp_a_m1,RKD2,AT1G74480,DAPv1
1559,S1Falike_tnt.AT3G09735_col_a_m1,AT3G09735,AT3G09735,DAPv1
1560,SBP_tnt.SPL11_col100_a_m1,SPL11,AT1G27360,DAPv1
1561,SBP_tnt.SPL13_col_a_m1,SPL13,AT5G50670,DAPv1
1562,SBP_tnt.SPL14_col_a_m1,SPL14,AT1G20980,DAPv1
1563,SBP_tnt.SPL15_col_a_m1,SPL15,AT3G57920,DAPv1
1564,SBP_tnt.SPL15_colamp_a_m1,SPL15,AT3G57920,DAPv1
1565,SBP_tnt.SPL1_col_a_m1,SPL1,AT2G47070,DAPv1
1566,SBP_tnt.SPL1_colamp_a_m1,SPL1,AT2G47070,DAPv1
1567,SBP_tnt.SPL3_col_a_m1,SPL3,AT2G33810,DAPv1
1568,SBP_tnt.SPL3_colamp_a_m1,SPL3,AT2G33810,DAPv1
1569,SBP_tnt.SPL5_col_a_m1,SPL5,AT3G15270,DAPv1
1570,SBP_tnt.SPL5_colamp_a_m1,SPL5,AT3G15270,DAPv1
1571,SBP_tnt.SPL9_col_a_m1,SPL9,AT2G42200,DAPv1
1572,SBP_tnt.SPL9_colamp_a_m1,SPL9,AT2G42200,DAPv1
1573,SRS_tnt.SRS7_col_a_m1,SRS7,AT1G19790,DAPv1
