#TF	symbol	PWM	PWMsource	PWMref
AT5G42630	ATS	PWM2625	JASPAR	MA1028.1
AT5G42820	ATU2AF35B	PWM3070	DAP-seq	U2AF35B_col
AT5G43170	AZF3	PWM1076	CisBP	M0350_1.01
AT5G43270	SPL2	PWM852	CisBP	M1439_1.01
AT5G43290	ATWRKY49	PWM1101	CisBP	M1550_1.01
AT5G43410	AT5G43410	PWM2596	JASPAR	MA0998.1
AT5G43410	AT5G43410	PWM876	CisBP	M0037_1.01
AT5G43840	AT-HSFA6A	PWM3176	DAP-seq	HSFA6A_col
AT5G44080	AT5G44080	PWM995	CisBP	M0319_1.01
AT5G44160	AtIDD8	PWM3050	DAP-seq	NUC_col
AT5G44180	RLT2	PWM1143	CisBP	M0757_1.01
AT5G44210	ATERF9	PWM2837	DAP-seq	ERF9_col
AT5G45050	ATWRKY16	PWM1261	CisBP	M1548_1.01
AT5G45260	ATWRKY52	PWM1262	CisBP	M1548_1.01
AT5G45300	BAM8	PWM2875	DAP-seq	BAM8_col
AT5G45580	AT5G45580	PWM3120	DAP-seq	AT5G45580_col
AT5G46350	ATWRKY8	PWM1090	CisBP	M1568_1.01
AT5G46350	ATWRKY8	PWM2688	JASPAR	MA1094.1
AT5G46350	ATWRKY8	PWM2720	UNIPROBE	UP00582
AT5G46350	ATWRKY8	PWM2721	UNIPROBE	UP00582
AT5G46350	ATWRKY8	PWM3570	DAP-seq	WRKY8_col
AT5G46590	anac096	PWM3393	DAP-seq	ANAC096_col
AT5G46760	MYC3	PWM1132	CisBP	M2231_1.01
AT5G46760	MYC3	PWM2168	JASPAR	MA0568.1
AT5G46760	MYC3	PWM879	CisBP	M0164_1.01
AT5G46830	ATNIG1	PWM2885	DAP-seq	BHLH28_col
AT5G46830	ATNIG1	PWM846	CisBP	M0148_1.01
AT5G46880	HB-7	PWM1130	CisBP	M0768_1.01
AT5G46880	HB-7	PWM1131	CisBP	M0768_1.01
AT5G47140	GATA27	PWM857	CisBP	M0692_1.01
AT5G47220	ATERF2	PWM1223	CisBP	M0038_1.01
AT5G47220	ATERF2	PWM2820	DAP-seq	ERF2_col
AT5G47220	ATERF2	PWM523	AthaMAP	T04634
AT5G47220	ATERF2	PWM58	AthaMAP	T04634
AT5G47230	ATERF5	PWM2828	DAP-seq	ERF5_col
AT5G47230	ATERF5	PWM524	AthaMAP	T04637
AT5G47230	ATERF5	PWM59	AthaMAP	T04637
AT5G47230	ATERF5	PWM943	CisBP	M0039_1.01
AT5G47370	HAT2	PWM1240	CisBP	M0767_1.01
AT5G47370	HAT2	PWM3147	DAP-seq	HAT2_col
AT5G47390	At5g47390	PWM3324	DAP-seq	AT5G47390_col
AT5G47390	At5g47390	PWM948	CisBP	M1246_1.01
AT5G47660	AT5G47660	PWM1044	CisBP	M1182_1.01
AT5G47660	AT5G47660	PWM3504	DAP-seq	AT5G47660_col
AT5G48560	AT5G48560	PWM2562	JASPAR	MA0963.1
AT5G48560	AT5G48560	PWM932	CisBP	M0165_1.01
AT5G48670	AGL80	PWM3210	DAP-seq	FEM111_col
AT5G49300	GATA16	PWM1216	CisBP	M0682_1.01
AT5G49300	GATA16	PWM3008	DAP-seq	GATA16_col
AT5G49330	ATMYB111	PWM1235	CisBP	M1207_1.01
AT5G49330	ATMYB111	PWM1446	PBM	
AT5G49330	ATMYB111	PWM1553	PBM	
AT5G49330	ATMYB111	PWM2632	JASPAR	MA1036.1
AT5G49450	AtbZIP1	PWM311	AthaMAP	
AT5G49450	AtbZIP1	PWM437	AthaMAP	
AT5G49450	AtbZIP1	PWM672	AthaMAP	
AT5G49520	ATWRKY48	PWM2682	JASPAR	MA1088.1
AT5G49520	ATWRKY48	PWM817	CisBP	M1569_1.01
AT5G50080	ERF110	PWM1017	CisBP	M0010_1.01
AT5G50570	SPL13	PWM1080	CisBP	M1446_1.01
AT5G50570	SPL13	PWM3454	DAP-seq	SPL13_col
AT5G50670	SPL13	PWM1081	CisBP	M1446_1.01
AT5G50915	AT5G50915	PWM933	CisBP	M0165_1.01
AT5G51190	ERF105	PWM2598	JASPAR	MA1000.1
AT5G51190	ERF105	PWM2807	DAP-seq	ERF105_col
AT5G51190	ERF105	PWM814	CisBP	M0040_1.01
AT5G51910	AT5G51910	PWM1310	CisBP	M1519_1.01
AT5G51910	AT5G51910	PWM2659	JASPAR	MA1063.1
AT5G51990	CBF4	PWM1542	CisBP	M0031_1.01
AT5G51990	CBF4	PWM2783	DAP-seq	CBF4_col
AT5G52020	AT5G52020	PWM1445	CisBP	M0026_1.01
AT5G52170	HDG7	PWM3140	DAP-seq	HDG7_col
AT5G52660	At5g52660	PWM1202	CisBP	M1205_1.01
AT5G52660	At5g52660	PWM3326	DAP-seq	AT5G52660_col
AT5G52830	ATWRKY27	PWM1400	CisBP	M1570_1.01
AT5G52830	ATWRKY27	PWM3532	DAP-seq	WRKY27_col
AT5G53290	CRF3	PWM934	CisBP	M0041_1.01
AT5G53660	AtGRF7	PWM27	AthaMAP	
AT5G53950	ANAC098	PWM3402	DAP-seq	CUC2_col
AT5G53950	ANAC098	PWM869	CisBP	M1309_1.01
AT5G54230	AtMYB49	PWM3257	DAP-seq	MYB49_col
AT5G54680	bHLH105	PWM1375	CisBP	M0166_1.01
AT5G56110	AtMYB103	PWM238	AthaMAP	
AT5G56110	AtMYB103	PWM3218	DAP-seq	MS188_col
AT5G56110	AtMYB103	PWM466	AthaMAP	
AT5G56110	AtMYB103	PWM528	AthaMAP	
AT5G56110	AtMYB103	PWM592	AthaMAP	
AT5G56110	AtMYB103	PWM810	AthaMAP	
AT5G56270	ATWRKY2	PWM1284	CisBP	M1571_1.01
AT5G56270	ATWRKY2	PWM2673	JASPAR	MA1078.1
AT5G56840	AT5G56840	PWM3328	DAP-seq	AT5G56840_col
AT5G56860	GATA21	PWM1217	CisBP	M0682_1.01
AT5G56930	EMB1789	PWM3068	DAP-seq	EMB1789_col
AT5G57150	AT5G57150	PWM898	CisBP	M0149_1.01
AT5G57620	AtMYB36	PWM1054	CisBP	M2239_1.01
AT5G58010	LRL3	PWM1026	CisBP	M0247_1.01
AT5G58080	ARR18	PWM1510	CisBP	M1247_1.01
AT5G58080	ARR18	PWM2547	JASPAR	MA0948.1
AT5G58620	TZF9	PWM3069	DAP-seq	TZF9_col
AT5G58850	ATMYB119	PWM3233	DAP-seq	MYB119_col
AT5G58900	AT5G58900	PWM3330	DAP-seq	AT5G58900_col
AT5G59430	ATTRP1	PWM3344	DAP-seq	TRP1_col
AT5G59570	BOA	PWM1032	CisBP	M1239_1.01
AT5G59780	ATMYB59	PWM1551	PBM	
AT5G59780	ATMYB59	PWM2638	JASPAR	MA1042.1
AT5G59820	AtZAT12	PWM1367	CisBP	M0357_1.01
AT5G59990	AT5G59990	PWM2962	DAP-seq	AT5G59990_col
AT5G60120	TOE2	PWM1395	PBM	
AT5G60120	TOE2	PWM1417	PBM	
AT5G60120	TOE2	PWM1572	PBM	
AT5G60130	AT5G60130	PWM2724	DAP-seq	AT5G60130_col
AT5G60200	TMO6	PWM2667	JASPAR	MA1071.1
AT5G60200	TMO6	PWM939	CisBP	M0579_1.01
AT5G60450	ARF4	PWM1254	CisBP	M0147_1.01
AT5G60690	IFL	PWM1460	CisBP	M2236_1.01
AT5G60850	OBP4	PWM1391	CisBP	M0581_1.01
AT5G60850	OBP4	PWM1501	CisBP	M0580_1.01
AT5G60850	OBP4	PWM3001	DAP-seq	OBP4_col
AT5G60970	TCP5	PWM2663	JASPAR	MA1067.1
AT5G60970	TCP5	PWM937	CisBP	M1520_1.01
AT5G61270	PIF7	PWM1002	CisBP	M0157_1.01
AT5G61270	PIF7	PWM2901	DAP-seq	PIF7_col
AT5G61430	ANAC100	PWM1096	CisBP	M1310_1.01
AT5G61590	AT5G61590	PWM1360	CisBP	M0035_1.01
AT5G61600	ERF104	PWM2805	DAP-seq	ERF104_col
AT5G61600	ERF104	PWM815	CisBP	M0040_1.01
AT5G61620	AT5G61620	PWM3332	DAP-seq	AT5G61620_col
AT5G61850	LFY	PWM181	AthaMAP	
AT5G61850	LFY	PWM2189	JASPAR	MA0590.1
AT5G61850	LFY	PWM325	AthaMAP	
AT5G61850	LFY	PWM446	AthaMAP	
AT5G61850	LFY	PWM576	AthaMAP	
AT5G61850	LFY	PWM608	AthaMAP	
AT5G61850	LFY	PWM615	AGRIS	
AT5G61850	LFY	PWM741	AthaMAP	
AT5G61850	LFY	PWM768	AthaMAP	
AT5G61850	LFY	PWM806	AthaMAP	
AT5G61850	LFY	PWM938	CisBP	M2253_1.01
AT5G61890	AT5G61890	PWM1287	CisBP	M0036_1.01
AT5G62000	ARF1-BP	PWM2863	DAP-seq	ARF2_col
AT5G62020	AT-HSFB2A	PWM1297	PBM	
AT5G62020	AT-HSFB2A	PWM1597	PBM	
AT5G62020	AT-HSFB2A	PWM3171	DAP-seq	HSF6_col
AT5G62165	AGL42	PWM3206	DAP-seq	AGL42_col
AT5G62260	AHL6	PWM1431	CisBP	M0145_1.01
AT5G62320	ATMYB99	PWM3298	DAP-seq	MYB99_col
AT5G62380	ANAC101	PWM1192	CisBP	M1313_1.01
AT5G62380	ANAC101	PWM3431	DAP-seq	VND6_col
AT5G62470	ATMYB96	PWM1121	CisBP	M1231_1.01
AT5G62470	ATMYB96	PWM3295	DAP-seq	MYB96_col
AT5G62610	AT5G62610	PWM827	CisBP	M0152_1.01
AT5G62940	At5g62940	PWM1396	CisBP	M0582_1.01
AT5G62940	At5g62940	PWM2582	JASPAR	MA0983.1
AT5G62940	At5g62940	PWM2982	DAP-seq	AT5G62940_col
AT5G63090	LOB	PWM3198	DAP-seq	LOB_col
AT5G63260	AT5G63260	PWM3065	DAP-seq	AT5G63260_col
AT5G64060	anac103	PWM3395	DAP-seq	ANAC103_col
AT5G64220	CAMTA2	PWM1479	CisBP	M0517_1.01
AT5G64220	CAMTA2	PWM2568	JASPAR	MA0969.1
AT5G64220	CAMTA2	PWM495	AthaMAP	
AT5G64750	ABR1	PWM1018	CisBP	M0010_1.01
AT5G64750	ABR1	PWM2731	DAP-seq	ABR1_col
AT5G64810	ATWRKY51	PWM1352	CisBP	M1572_1.01
AT5G65050	AGL31	PWM1182	CisBP	M2221_1.01
AT5G65060	AGL70	PWM1183	CisBP	M2221_1.01
AT5G65070	AGL69	PWM1184	CisBP	M2221_1.01
AT5G65080	AGL68	PWM1185	CisBP	M2221_1.01
AT5G65100	AT5G65100	PWM1005	CisBP	M0605_1.01
AT5G65130	At5g65130	PWM1016	CisBP	M0016_1.01
AT5G65130	At5g65130	PWM2774	DAP-seq	AT5G65130_col
AT5G65210	TGA1	PWM1248	CisBP	M0269_1.01
AT5G65210	TGA1	PWM1386	CisBP	M2251_1.01
AT5G65210	TGA1	PWM2187	JASPAR	MA0588.1
AT5G65210	TGA1	PWM2939	DAP-seq	TGA1_col
AT5G65210	TGA1	PWM498	AGRIS	
AT5G65310	ATHB5	PWM1430	CisBP	M2532_1.01
AT5G65310	ATHB5	PWM1719	JASPAR	MA0110.2
AT5G65310	ATHB5	PWM3138	DAP-seq	ATHB5_col
AT5G65310	ATHB5	PWM395	AGRIS	
AT5G65410	ATHB25	PWM3577	DAP-seq	ATHB25_col
AT5G65510	AIL7	PWM2733	DAP-seq	AIL7_col
AT5G65590	SCAP1	PWM1050	PBM	
AT5G65590	SCAP1	PWM1593	PBM	
AT5G65590	SCAP1	PWM2583	JASPAR	MA0984.1
AT5G65790	ATMYB68	PWM1055	CisBP	M2239_1.01
AT5G66300	ANAC105	PWM1193	CisBP	M1313_1.01
AT5G66300	ANAC105	PWM2714	UNIPROBE	UP00579
AT5G66300	ANAC105	PWM2715	UNIPROBE	UP00579
AT5G66300	ANAC105	PWM3427	DAP-seq	VND3_col
AT5G66320	GATA5	PWM991	CisBP	M0685_1.01
AT5G66700	ATHB53	PWM3136	DAP-seq	ATHB53_col
AT5G66730	At5g66730	PWM1456	CisBP	M1810_1.01
AT5G66730	At5g66730	PWM3035	DAP-seq	AT5G66730_col
AT5G66940	AT5G66940	PWM2983	DAP-seq	AT5G66940_col
AT5G67000	AT5G67000	PWM2776	DAP-seq	AT5G67000_col
AT5G67110	ALC	PWM1294	CisBP	M0161_1.01
AT5G67190	DEAR2	PWM2794	DAP-seq	DEAR2_col
AT5G67300	ATMYB44	PWM3255	DAP-seq	MYB44_col
AT5G67300	ATMYB44	PWM533	AthaMAP	T02559
AT5G67300	ATMYB44	PWM73	AthaMAP	T02559
AT5G67450	AZF1	PWM1425	CisBP	M0358_1.01
AT5G67580	ATTBP3	PWM1385	CisBP	M1248_1.01
AT5G67580	ATTBP3	PWM2668	JASPAR	MA1073.1
AT5G67580	ATTBP3	PWM3342	DAP-seq	TBP3_col
